PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,experiment,method,n_gaussians_mean,n_gaussians_std,n_runs,paper_lpips_vgg_mean,paper_lpips_vgg_std,train_time_sec_mean,train_time_sec_std,vram_allocated_gb_mean,vram_allocated_gb_std,wall_time_sec_mean,wall_time_sec_std
28.158621398766144,3.8721203519100555,0.8289148323831962,0.1286821045223729,schedule_23k,FasterGSFusedRapid,1086278.7777777778,636303.8872144303,9,0.20726390461359187,0.09967345796025182,152.46606277777778,49.131610113969224,5.036490281422933,1.2036193217886928,215.05133880734016,50.907271925440625
28.09036491315935,3.801605352322255,0.8287726098908013,0.12788838550016335,schedule_25k,FasterGSFusedRapid,1083784.3333333333,598469.5433276033,9,0.20625399818496226,0.09765163220591858,174.698135,52.95894906340589,5.104775958591038,1.2249706518548653,239.0023474734448,54.56101829282162
28.154959878206384,3.860827377263938,0.8289067023221142,0.12613488159519975,schedule_27k,FasterGSFusedRapid,1081255.6666666667,603191.3860975221,9,0.20473519219001118,0.0966346761247993,186.47657166666667,57.55152880493271,5.116144710116917,1.2269924739890996,251.5052299049995,59.0801160818225
28.173372849698534,3.880409283362592,0.8289194366438636,0.12790226354353718,schedule_30k,FasterGSFusedRapid,1086339.888888889,637422.3029680646,9,0.20540216625529198,0.09874285382203506,183.2651211111111,60.91293338500212,5.037463506062825,1.2028897288076075,237.5752471458917,61.946471008034656
28.161113100953187,3.858028935224698,0.8301324454981452,0.12734274712055557,score_threshold_2,FasterGSFusedRapid,1217138.7777777778,726642.7229419176,9,0.20341548721439762,0.09716648779990213,154.75887333333333,54.22446437998575,5.227508121066624,1.2477537461998283,209.09697295611033,55.5609040795088
28.081510549851288,3.853228866014109,0.8259521537694189,0.12903331418114397,score_threshold_8,FasterGSFusedRapid,980232.1111111111,551753.2232663993,9,0.2103356466643685,0.10069048055457311,137.8452631111111,43.085925215307476,4.904464456770155,1.1739695220097202,191.6536686792218,44.75901102716887
27.974270849593136,3.803401590050843,0.8241770722698224,0.1317845102924914,score_views_1,FasterGSFusedRapid,784082.8888888889,532095.0941115799,9,0.2174586528772275,0.10503490601038566,123.99629955555555,42.50392889150031,4.67265870836046,1.215771890931939,178.75121097177828,44.28223475939124
28.132944799060837,3.8661500317852187,0.8285674793851512,0.12859212668773276,score_views_10,FasterGSFusedRapid,1092103.0,603785.4379088237,9,0.20742060772108165,0.0990630320738972,149.288244,47.60491348641921,5.057608922322591,1.2141614015901823,203.2699897252209,49.119825125765665
28.057768059755492,3.827392093401105,0.8271304534917887,0.12904260773520865,score_views_20,FasterGSFusedRapid,1047129.5555555555,555822.2431110757,9,0.20860393303450786,0.09848589432776039,152.03319811111112,46.92228136054566,5.039723873138428,1.2480396995327707,205.87244219844433,48.69260392310127
28.157111256910035,3.888310027644946,0.8286493447656926,0.12910736167471476,score_views_3,FasterGSFusedRapid,1034961.2222222222,634225.3655426393,9,0.20858082718136445,0.10059996199901003,140.56892666666667,47.682786894837704,4.971835825178358,1.2104920275186606,195.00605425522372,48.9555023295946
28.08514665281284,3.8095594260842423,0.8285272684247064,0.1284866561246727,split,FasterGSFusedRapid,1086173.4444444445,636696.6152152277,9,0.20745276333371374,0.09970027632830897,152.89153744444442,51.1197769734064,5.236279328664144,1.2309008061884164,207.31234537844526,52.062982018537305
28.158621398766144,3.8721203519100555,0.8289148323831962,0.1286821045223729,structure_full,FasterGSFusedRapid,1086278.7777777778,636303.8872144303,9,0.20726390461359187,0.09967345796025182,152.46606277777778,49.131610113969224,5.036490281422933,1.2036193217886928,215.05133880734016,50.907271925440625
28.05735467135795,3.7852367061898926,0.8319270433332081,0.1257570682027188,structure_gradient_only,FasterGSFusedRapid,2234379.0,1065352.832340183,9,0.19578581441991819,0.09167061343567078,205.07089166666665,73.07196148866512,6.3428850173950195,1.708152209033137,260.2660692375551,75.05082353786234
27.979007000802227,3.678937257801985,0.8309926833629823,0.12447582745121688,structure_no_score_gate,FasterGSFusedRapid,1816131.888888889,917350.6969472532,9,0.1970297988682263,0.09146983639309601,198.84636911111113,70.2064145806855,6.3499184184604225,1.7183186269649682,253.94236513955468,72.2648930731112
28.126054589514546,3.859700607661749,0.828522298079321,0.12867612127440642,structure_no_vcp,FasterGSFusedRapid,1210930.6666666667,684236.083019231,9,0.20650375116108832,0.09996373099378014,147.35137844444444,49.074347660213235,5.035182529025608,1.2032022432705731,201.78244205711155,50.7318911767346
